,Lat,Long,0
0,54.86233,-2.3919981,3349.78834652726
1,57.271658,-4.0756421,3177.3031421202168
2,52.234476,-4.2721271,3809.275338335716
3,54.434273,-6.0888787,3486.9079713282345
4,50.992662,-3.0709379,3847.9889510946214
5,54.054114,-1.9260945,3467.2655443156173
6,56.005966,-4.4884638,3283.296455611702
7,53.048421,0.011514478,3782.112072582854
8,55.042068,-1.6113203,3373.0793444079673
9,54.260068,-5.9179643,3552.834129076233
10,55.448966,-5.244077,3423.849056419568
11,51.806612,-2.2198869,3644.308056072826
12,56.999526,-4.2251144,3084.2558640051775
13,52.06464,-0.32476992,3815.7956904903785
14,56.182125,-4.6610125,3134.5415433846038
15,51.626448,-1.6411665,3741.2574299439384
16,53.872416,-2.686855,3506.9306893630883
17,54.489009,-7.0215079,3421.8626703103637
18,53.227998,-4.0247568,3806.4622372700387
19,58.252885,-4.4735821,3103.2904130696143
20,53.874357,-2.0785049,3474.3513037737303
21,52.794621,-1.4833342,3558.063833289236
22,56.89797,-7.505489,3413.19383185903
23,53.59426,-0.41597218,3705.264196879015
24,52.429518,-3.2525115,3560.034981215583
25,58.264258,-3.7924391,3195.761908561156
26,51.804096,-2.7999957,3635.092937555307
27,57.557575,-2.4205209,3290.977774482415
28,55.843864,-3.3600154,3249.13561269804
29,56.426551,-5.6513987,3115.0942845999725
30,52.614812,-2.5193058,3525.102537328512
31,56.01724,-3.8473926,3212.080293643193
32,57.173399,-7.3808065,3354.4348083469313
33,57.916094,-6.8154229,3227.6938621519585
34,56.835072,-3.0679499,3270.5190056132287
35,51.986438,-1.7839163,3650.8543434531357
36,51.420198,0.51455341,3890.7093770289193
37,50.630101,-3.3454618,3842.9119473624487
38,52.244297,-3.6867028,3658.8125300545225
39,50.137509,-5.4308786,3876.820885162474
40,53.420947,-2.9805068,3554.999799473816
41,52.336237,-0.46130334,3803.4267347383775
42,51.083832,-1.0743092,3891.2786754380168
43,51.896704,-2.0750001,3617.63303764136
44,54.771892,-1.4584693,3340.1582498111193
45,54.393005,-7.1639498,3423.5456030035666
46,52.960921,-3.8633585,3743.284016041366
47,57.980311,-4.6239114,3135.4544960210915
48,56.447752,-4.8418505,3051.0536861021146
49,54.518584,-6.2519234,3449.331335511645
50,50.90397,-2.9266824,3857.5872763107245
51,57.179051,-4.2358984,3130.03416257795
52,52.147361,-4.1215199,3790.9326361896665
53,54.951586,-2.5490029,3315.9267417213423
54,55.453053,-5.0862178,3425.3504360385914
55,52.517804,-0.6023478,3741.32518829128
56,53.140691,-0.13369083,3750.9747373995024
57,50.701402,-4.4804361,3725.721992513829
58,51.535986,-2.5069305,3712.939031219078
59,53.964048,-1.7738326,3476.3872925564974
60,57.797286,-4.7789082,3041.724124223283
61,56.564115,-3.2230268,3281.3191476905613
62,58.178019,-7.021165,3229.168657073842
63,52.523296,-1.1917453,3719.057696224586
64,52.885049,-2.3739198,3502.150330727988
65,52.156427,-3.5371929,3659.1561842526207
66,51.15367,0.35702467,3901.0569330773915
67,50.44244,-3.9034816,3803.2584733132226
68,51.716887,-1.9299515,3703.0541115795595
69,57.992464,-3.9480117,3231.8183610290444
70,53.682006,-0.26126196,3710.7973528731827
71,50.328767,-5.0230524,3808.9962004961435
72,52.70528,-1.6323887,3544.6055587840083
73,55.105033,-4.5889213,3442.4157824340527
74,54.143788,-2.2320954,3444.0692135042245
75,55.752177,-3.5161573,3266.3517128316744
76,53.329799,-0.87627367,3650.4818353473884
77,51.894896,-2.656284,3621.297492989467
78,57.646727,-2.5890814,3284.788757760023
79,56.827745,-3.7232352,3138.083774851355
80,53.06261,-1.1816897,3613.91152263615
81,52.663265,1.1769535,3698.695215982435
82,54.40656,-0.69297323,3558.6071958346647
83,55.689015,-6.2190489,3399.29269792003
84,57.28086,-3.4125853,3225.6364770513264
85,52.251215,-3.1009919,3557.2487890741622
86,50.976657,-4.2101597,3699.888602543532
87,55.401475,-2.3973197,3262.6846640567
88,50.637675,-2.2143805,3886.7002942163217
89,53.236671,-3.4257908,3647.389271599871
90,52.760601,0.88755596,3727.0116692037273
91,51.608366,0.091647393,3799.322661548834
92,57.009499,-3.5669544,3164.9623921887087
93,52.071487,-0.90812962,3786.8194859118466
94,51.267132,-2.2172995,3800.115010771209
95,54.586191,-3.3177807,3480.0426699099517
96,55.835148,-3.9984351,3318.7764770250405
97,51.264663,-2.7905916,3777.768089213546
98,54.232702,-1.4655485,3520.1830958099836
99,51.779389,-4.5391413,3819.2588155110616
100,57.520398,-5.0918803,2964.7420290362234
101,53.600733,-1.0202138,3588.256767914111
102,52.421825,-3.8405373,3645.7912798373873
103,52.773544,0.29533206,3819.6134935892005
104,51.596661,0.66869205,3906.9985836084697
105,54.411655,-1.3091461,3474.934867530328
106,50.986048,-3.6406789,3698.2416563958195
107,57.601447,-5.4336321,2911.8406876330564
108,51.959142,0.54460948,3847.8216636096167
109,51.446974,-1.786469,3764.681674679614
110,53.780424,-2.9888699,3544.610745510089
111,56.816981,-4.378137,3051.0037590499587
112,53.057011,-0.58496184,3728.9088990410874
113,55.222185,-1.7667607,3398.4316185312837
114,58.335544,-4.8210709,3111.3727694646395
115,54.11417,-4.6797662,3784.6557603316223
116,56.477062,-2.8955239,3374.484435442868
117,55.132521,-2.0809624,3308.8640006861933
118,52.67432,0.73391942,3788.4109939749223
119,52.968765,-3.2680486,3513.602118636207
120,51.357228,-2.0741127,3773.454581430461
121,52.342422,-1.0482586,3749.2120508798944
122,51.077918,-0.50341233,3841.300339739306
123,52.756904,1.0355372,3709.5605226142434
124,53.153426,-1.3295026,3594.1073176568843
125,56.556011,-3.8735703,3134.116838871655
126,54.914672,-5.0448447,3484.3312138182982
127,57.486405,-6.257572,3133.8078735990402
128,55.49071,-2.5564795,3248.549455692274
129,50.8894,-4.0638354,3695.719688748155
130,57.189093,-3.5745529,3202.856745906779
131,55.77304,-6.3877046,3408.912420364597
132,52.162599,-2.952606,3570.9255757717638
133,51.177395,-1.9307691,3819.7960190154963
134,51.692702,0.38492975,3847.710462315723
135,54.323137,-2.3868507,3444.233583864657
136,57.507147,-5.5917794,2992.304388310361
137,50.898069,-3.495377,3734.3029719414444
138,53.148559,-0.73148334,3692.6588979157814
139,56.544506,-4.523704,3048.2956995364884
140,52.509379,-0.013191427,3792.1915136315592
141,51.872261,-4.3990922,3821.618682075409
142,57.605879,-5.2665897,2875.6863261974813
143,51.355455,-2.6485438,3773.3177680315957
144,54.798001,-5.9699002,3436.421286683133
145,55.742665,-4.1530196,3349.5935005319025
146,53.322634,-0.27590673,3719.0337053819585
147,54.494568,-3.4692333,3522.357194048901
148,60.430502,-1.3672285,3288.750506390278
149,52.686485,0.14279901,3810.320242504019
150,55.130489,-2.708291,3228.4962636258115
151,53.689265,-0.86672595,3623.7886615270445
152,55.026934,-3.9580036,3360.700013679716
153,57.391113,-6.4130569,3174.099377098578
154,55.574386,-3.3506838,3227.1482313741435
155,50.791243,-4.485191,3722.719557540895
156,52.073793,-2.8048089,3575.2682619538054
157,57.10845,-2.4154177,3335.9043944349514
158,55.878807,-5.9196757,3369.4388786522804
159,51.613075,-3.8076289,3776.6784458966986
160,53.863798,-0.4058075,3652.68835436889
161,58.533562,-3.8061666,3200.965999429204
162,53.604716,-2.0780023,3462.934853690266
163,52.404929,0.71722534,3804.9851741605007
164,53.244059,-1.4779398,3569.4712056898143
165,51.974697,-3.6765563,3716.166137819181
166,52.256151,-1.7826096,3554.6697622921374
167,50.971031,0.49020975,3947.1779132829824
168,57.620527,-7.4469337,3308.7540944681095
169,56.38596,-3.0553454,3345.0413800691767
