,Lat,Long,Insolation
2166,50.617221,-4.1932614,1124.2107
2167,54.323543,-1.7718674,1042.246
2168,51.682972,-4.8230965,1139.8851
2169,57.438411,-4.7516257,913.3783
2170,50.342017,-4.4616567,1145.3093
2171,51.176333,-2.5029744,1156.4959
2172,53.512948,-1.323843,1067.9995
2173,52.857244,0.59684967,1142.712
2174,54.499356,-0.99884592,1048.5179
2175,55.312237,-2.0813293,997.6401
2176,51.944997,-5.1305917,1149.8767
2177,51.356184,-1.4996695,1139.8128
2178,51.875232,0.24929256,1154.8502
2179,56.733014,-4.0458498,926.0901
2180,54.640701,-7.660894,1021.0372
2181,58.38205,-6.3651601,945.8769
2182,50.726734,-2.4981425,1169.01
2183,53.77587,-0.56089552,1104.6144
2184,53.061447,-2.9723219,1055.4711
2185,56.668778,-6.4914654,1001.4071
2186,55.401897,-1.7657048,1036.4873
2187,51.859119,0.97469634,1173.6048
2188,55.658028,-3.830432,995.5014
2189,50.984038,-0.22149124,1177.4564
2190,52.254525,-1.3431344,1093.1346
2191,52.838699,1.3382688,1112.0405
2192,53.241244,-1.0284418,1092.5376
2193,54.233859,-2.0791879,1034.4015
2194,51.776289,0.67928105,1169.8916
2195,55.578706,-2.8749595,971.6625
2196,55.011845,-4.7393363,1041.5442
2197,57.102998,-3.2407259,962.9328
2198,52.069991,-3.2424237,1083.7452
2199,50.804199,-3.7762232,1116.4536
2200,51.788069,0.09995119,1149.1488
2201,54.231893,-2.6928122,1044.0297
2202,51.266794,-1.6439724,1144.3537
2203,55.581593,-2.2405122,998.2
2204,52.424097,-0.31117646,1119.226
2205,56.640455,-4.2039196,917.3314
2206,51.446608,-2.3620453,1122.6513
2207,51.95579,-4.6946554,1157.0843
2208,57.703787,-4.9396171,889.131
2209,53.40775,0.028429697,1119.5709
2210,54.408075,-3.1579874,1059.1606
2211,55.646905,-4.4656313,1018.027
2212,52.249813,-0.75727229,1144.4739
2213,52.590955,0.43342129,1146.2032
2214,55.221765,-2.395526,976.4892
2215,50.727611,-1.7897517,1204.3591
2216,53.781617,-1.1677703,1064.9565
2217,51.32387,0.79636491,1194.676
2218,54.771067,-2.7019965,1018.2612
2219,55.284566,-4.6006008,1032.8594
2220,54.33385,-6.3867311,1052.0928
2221,51.079599,-3.3584621,1127.4044
2222,57.355495,-4.4128769,933.3532
2223,52.329598,-3.9834671,1111.6367
2224,52.705636,-2.2243836,1048.7995
2225,56.345975,-5.3198908,915.2866
2226,54.143412,-1.6197784,1050.5223
2227,52.963238,-0.29024034,1133.3338
2228,56.101801,-4.1730311,957.5948
2229,54.952803,-1.9244606,995.9854
2230,51.226883,1.0769747,1210.3861
2231,57.468422,-2.0860741,1005.9097
2232,52.149986,-0.029231896,1140.3081
2233,56.903499,-4.547883,907.1233
2234,50.905047,-1.2200793,1202.3556
2235,53.963648,-2.3835122,1041.4406
2236,56.264497,-4.9897594,931.8371
2237,51.537062,-1.9302269,1126.1766
2238,57.865723,-5.6274763,904.3459
2239,54.565292,-7.3406291,1020.6512
2240,58.169272,-4.1276971,949.5644
2241,50.5366,-3.625031,1149.4629
